Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Leveraging AI in Adobe Photoshop and Creative Cloud (2023),"The Adobe Creative Cloud tools are filled with time-saving, creativity-enhancing features built on a foundation of artificial intelligence. Whether it's making masking easier in Photoshop and Lightroom, editing in Illustrator, or matching similar fonts in InDesign, the AI features in the Creative Cloud apps are ""creativity copilots"" that simplify tedious tasks and enable you to concentrate on creativity. In this course, Adobe's Bart Van de Wiele introduces you to to Adobe Sensei—Adobe's artificial intelligence and machine learning technology—and details where you'll find AI features across the Creative Cloud family and how to get the most out of them.",Course,2025-12-02 08:20 UTC,N/A,false,N/A,
Vlogging for Business,"Many individuals and companies are now creating ongoing vlogs, which are video blogs offering educational or informational content that increases brand awareness and helps the vlogger connect to a potentially growing audience. While certain vlogs focus on a person's daily or weekly life, there are many vlogs that focus on a specific area, such as filmmaking, graphic design, or technology. Rather than vlogging to attract a high volume of subscribers, instead you can aspire to establish a clear, consistent voice and deliver valuable content as a vlogger. This can be accomplished with planning and a technical and creative understanding of what it takes to produce a vlog.<br><br>

In this course, Jem Schofield of theC47 breaks down the planning, production, post production, equipment, and distribution of an ongoing vlog for your company, business, or creative endeavor. Jem explains how to select the right subject matter, pick a vlogging camera, and shoot your vlog. Plus, he goes over helpful post production and delivery strategies, including editing and integrating branding assets. Jem shows all of this by walking through the process with a business owner, Steven Soria of Make Smith Leather Company.",Course,2020-01-28 07:04 UTC,N/A,false,N/A,
Introduction to NFTs: Non-fungible Tokens,"NFTs (non-fungible tokens) enable people to sell digital items like music, art, photos, and more. Creators are interested in NFTs as a way to protect and monetize their original work—and collectors are buying. The NFT model will have a dramatic effect on how people think about valuating non-tangible goods. However, there are critics who say they are a temporary, overblown fad. This course explains exactly what NFTs are—including their basis in blockchain—and how you can create your own NFTs using a cryptocurrency platform like Ethereum. Instructor Jonathan Reichental also reviews the criticisms of NFTs so you can understand the challenges of this emerging technology. Plus, learn how NFTs are poised to disrupt other industries: by preventing counterfeiting, verifying certifications, innovating financial services, and more.",Course,2022-04-19 08:02 UTC,N/A,false,N/A,
Building Resilience,"<p>In this course, psychologist Dr. Emily Anhalt helps you build mindsets, skills, and strategies to build your resilience, helping you to turn challenges into opportunities for growth, transformation, and innovation. Emily first focuses on mindsets to become more resilient, developing skills to make meaning out of challenges and setbacks and develop a growth mindset amongst disruption. She then guides you on ways to build emotional agility in order to become more resilient, with strategies to reframe challenging thoughts, face difficult truths, and build your emotional fitness. Plus, learn about an essential element of resilience—tapping into the relationships and resources around you. Finally, Emily shows you how to create a personalized resilience plan to meet current and future challenges while building your resilience. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/professional-soft-skills-learning-pathway"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-09-23 11:48 UTC,N/A,false,N/A,
Speaking Up At Work,"Want to ensure that your best ideas are heard by the right people in your organization? Improve your ability to speak up at work. In this course, join communications and media expert Jessica Chen as she uncovers the common mental barriers that keep professionals from speaking up at work, as well as the steps you can take to actively build your authority. Jessica discusses how your childhood, cultural, and work experiences may have shaped your perception of good communication. She goes over how to ask the right questions and effectively tailor your message to suit your audience. Plus, she shares tips for showcasing your confidence, whether you're speaking to people on video or in person.",Course,2021-02-22 12:41 UTC,N/A,false,N/A,
Artificial Intelligence Foundations: Machine Learning,"<p>Machine learning is the most exciting branch of artificial intelligence. It allows systems to learn from data by identifying patterns and making decisions with little to no human intervention. In this course, you'll navigate the machine learning lifecycle by getting hands-on practice training your first machine learning model. Join instructor Kesha Williams as she explores widely adopted machine learning methods: supervised, unsupervised, and reinforcement. There's a focus on sourcing and preparing data and selecting the best learning algorithm for your project. After training a model, learn to evaluate model performance using standard metrics. Finally, Kesha shows you how to streamline the process by building a machine learning pipeline. If you’re looking to understand the machine learning lifecycle and the steps required to build systems, check out this course. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/machine-learning-statistical-foundations-professional-certificate-by-wolfram-research"" target=""_blank"">Professional Certificate</a> from Wolfram Research.</p>",Course,2023-06-13 08:28 UTC,N/A,false,N/A,
Introduction to Graphic Design: Illustrator,"Design is complex art that involves many different skills and tools. In this course, instructor Tony Harmer uses the process of creating a poster to teach you the core Adobe Illustrator skills that every designer needs to know. Tony shows you how to set up the document and working space for the poster in Adobe Illustrator. He walks you through importing the sketch, adding the print area, and creating a modular grid that will help you position objects in the layout. Tony covers area type and type hierarchies, then shows you how to rotate and scale area text. He steps through adding images and recoloring artwork. He goes over how you can change the blending mode and opacity of the artwork, create a clip group, and place another Illustrator file into your working document. Tony wraps up by showing how you can check your file for accessibility issues and package your file for easy hand-off.",Course,2022-06-28 14:19 UTC,N/A,false,N/A,
Supervised Learning Essential Training,"Data scientists and ML/AI students may need some practical experience with supervised learning algorithms. In this course, instructor Ayodele Odubela teaches you to apply models you’ve created to new data and to assess model performance. First, Ayodele outlines what supervised learning is and how to make predictions using labeled training data. She gives you an overview of the logistic regression algorithm, how to build a linear model in Python, and how to calculate model metrics. Next, Ayodele helps you create your first decision trees as well as k-nearest neighbors models using GridSearch. Ayodele covers how you can create artificial neural networks that are foundational for most deep learning work. She concludes with an ethical AI overview and asks you to consider the impact of your models.",Course,2025-08-29 13:08 UTC,N/A,false,N/A,
Content Strategy in the Age of AI,"AI is transforming the way content strategists work, offering new tools to amplify creativity, streamline workflows, and unlock unprecedented efficiency. In this course, instructor Amy Balliett explores how to integrate AI into every stage of your content strategy process, from brainstorming and branding to scripting, design, and campaign management. Through hands-on demonstrations, discover some of today’s leading AI tools in a wide variety of different categories—template-driven, sketch-driven, and fully generative—and learn how to master the art of prompting for optimal results. Whether you're creating audience personas, analyzing data, or developing stunning visuals, this course equips you with actionable insights and practical skills to make AI your greatest ally in delivering exceptional content.",Course,2025-08-06 12:03 UTC,N/A,true,N/A,
Supercharge Your LinkedIn Profile for Opportunities and Growth,"In this course, Kim Kaupe—an entrepreneur, keynote speaker, podcast host and a self-described superfan of LinkedIn—shares with you all the ways you can enhance your profile and make the most out of your LinkedIn experience. Learn how to level up your career, attract opportunities, and connect with power players in your industry. Find out how to configure your profile to position yourself as a thought leader. Explore strategies for profile pictures and banner images. Dive into creating impactful content, including LinkedIn posts, collaborative articles, LinkedIn Live sessions, audio events, and newsletters. Plus, learn about analytics you can use to measure the effectiveness of your efforts.",Course,2026-01-30 13:43 UTC,N/A,false,N/A,
Social Media Marketing Trends,"<p>Social media is always evolving, requiring companies adapt their marketing strategies to more effectively reach audiences. Learn which social media marketing trends matter now and find out how to use them to drive engagement and sales at your business. This series highlights the top trends to consider adopting, including the next evolution of influencer marketing, dynamic ads, social shopping, and how brands should advocate on relevant social causes. Social media marketing expert Brian Honigman also explores augmented reality features on social media and trends on video platforms such as YouTube and TikTok. Each tip helps you understand the most recent developments in social media and get more meaningful results from your marketing efforts.",Course,2022-08-30 07:10 UTC,N/A,false,N/A,
Design Your First Infographic,"Infographics distill information into a digestible, picture-driven format that viewers can easily retain. Whether you wish to design your first infographic for a marketing report, a personal project, a company brochure, or an event, this course walks you through the very first steps. No prior knowledge of infographic design is needed. Instructor Nigel French helps you identify when a graphic representation is better than a written one, and he goes over the fundamental design aspects of infographics such as icons and font choices. Plus, learn where to find sources of inspiration and raw material—including accurate data—for your infographic.",Course,2022-10-24 14:23 UTC,N/A,false,N/A,
Artificial Intelligence and Application Security,"Artificial intelligence is changing application security in three significant and exciting ways: how hackers conduct attacks, how application security professionals operate daily, and how the software and learning models supporting artificial intelligence are also targets for hacking. In this course, Caroline Wong describes each of these aspects to help you understand how to differentiate between the different use cases, as well as identify how each applies to your specific organization. Caroline also shares key takeaways and practical actions that you can use in your daily lives as you personally interact with AI and applications.",Course,2026-01-20 16:30 UTC,N/A,false,N/A,
How to Research and Write Using Generative AI Tools (2023),"<p>You’ve probably already heard about ChatGPT, but did you know it can make you better at your job? Join instructor Dave Birss for a crash course in generative AI and learn how to get started with prompt engineering for ChatGPT and other AI chatbots to upskill as a researcher and a writer.</p><p>Dave shows you how to create effective prompts that deliver high-quality, task-relevant results. Get an overview of some of the key considerations of working with generative AI with hands-on, practical strategies to improve your research and writing. Find out how to summarize complex information, view subjects from multiple perspectives, build user personas and strategic models, analyze writing style, outline ideas, and generate new content. By the end of this course, you’ll be ready to leverage the power of ChatGPT and other chatbots to deliver more consistent writing outcomes every time.</p><p>Note: This course was created by Dave Birss. We are pleased to host this training in our library.</p>",Course,2023-07-31 13:30 UTC,N/A,false,N/A,
Understanding Generative AI for Tech Leaders,"This learning path equips tech leaders with the latest generative AI trends, how they work, and how to apply them to your team, product, and organization. Explore fundamental concepts of AI and machine learning. Delve into specific areas like large language models. Plus, explore crucial aspects like ethical considerations, regulation and compliance, implementation strategies, and emerging trends such as multimodal models and AI agents.&#160;",Learning Path,N/A,N/A,true,N/A,
Build Your Skills as an Instructional Designer,"Instructional designers create engaging, effective learning experiences that help people gain the skills they need. From using video in your training to designing the learner's journey, build a solid foundation for a career in eLearning, online training, or corporate learning and development.",Learning Path,2024-09-13 14:58 UTC,N/A,true,N/A,
Advance Your After Effects Skills,"After Effects is one of the most important tools in the motion graphics industry. This path helps you get started, then introduces advanced techniques and ways to use After Effects in various scenarios.",Learning Path,N/A,N/A,true,N/A,
SQL Essential Training,"The ubiquity of big data means that now, more than ever, there is a burning need to warehouse, access, and understand the contents of massive databases quickly and efficiently. Attaining proficiency in SQL is essential to prepare for our data-driven present and future. It is also crucial to furthering your skills as a data analyst or application developer. In this course, Walter Shields teaches you: the basic structure of databases—what they are, how they work, and how to successfully navigate them; how to use SQL to retrieve and understand data no matter the scale of a database; and how to master the most important SQL query syntax, along with how and when to use it best.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2026-05-09 07:13 UTC,N/A,true,N/A,
Interaction Design: Interface ,"The user interface is a visual display of the underlying computer system and the point of interaction for all users. To increase the product’s usability, the appearance and behaviors should be well understood, easy to learn, and pleasing to use. The lessons in this course teach the proper role of color, type, iconography, illustrations, and micro-interactions when building an interface for any system. Instructor Diane Cronenwett reviews visual principles such as grouping and hierarchy, explains how and when to use iconography, discusses the importance and impact of color, and shows how to take designs further with illustration and animation. Plus, learn how important usability considerations such as legibility and accessibility should guide your design choices.",Course,2023-12-27 17:58 UTC,N/A,false,N/A,
Learning Graphic Design History,"<p>The history of graphic design is a history of cultural expression, reflecting both what people thought during a time period and how they felt. Whether you're curious about the development of design or seeking inspiration for your own creations, you can expand your visual vocabulary in this comprehensive introduction to graphic design history. Instructor Sean Adams is the Dean of Visual Art and Communication at ArtCenter College of Design, one of the world's highest ranked design schools—and in this course, he highlights each design movement, including specific styles, techniques, and genres. </p>

<p>Sean explores the need for design in Industrial age advertising, the use of graphic design as propaganda during the two world wars, and the rise of the massively influential Bauhaus school. He sheds light on the development of poster, film-title, magazine, and album-cover design; the changing relationship between design and typography; and graphic design's role in various art movements, ranging from Art Nouveau to New Wave. </p>",Course,2025-10-25 10:14 UTC,N/A,false,N/A,
GPT-4: OpenAI's GPT Model and What You Need to Know,"<p>The next generation of GPT is here, and it’s time to get up to speed. The latest version, GPT-4, takes all the core functionalities of GPT-3.5 and reworks them for more reliable, consistent results and higher performance delivered at speed. Join data science consultant and AI expert Jonathan Fernandes to get a sneak peek at what’s new with GPT-4, in this approachable, easy-to-follow course designed for both technical and non-technical learners.</p><p>Explore the wide variety of tasks that GPT-4 can perform with accuracy and ease, as you develop your understanding of how large language models function in interactive natural language processing. Along the way, gather insights from Jonathan on model specifications, decoders, parameters, training tools such as PPO reinforcement learning, common limitations, HELM, and more. Upon completing this course, you’ll have the skills you need to know to get started with GPT-4 and select the model that’s best for you.</p>",Course,2023-05-04 19:22 UTC,N/A,false,N/A,
PyTorch Essential Training: Deep Learning,"<p>PyTorch is the most flexible and expressive library for deep learning, and offers simple Python API, GPU support, and flexibility. It’s designed to load data, apply transforms, and build deep learning models with just a few lines of code. Many machine learning developers and researchers use PyTorch to accelerate deep learning research, experimentation, and prototyping. In this course, software developer Terezija Semenski teaches you the important features of PyTorch with a hands-on approach to help you develop the skills you need to dive into your deep learning projects.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-10-21 11:43 UTC,N/A,true,N/A,
ChatGPT's Operator: Automating Everyday Tasks with AI Agents,"Discover ChatGPT's Operator, an AI agent in research preview designed to simulate human interaction with websites for task automation. In this course, you'll explore how businesses and individuals can experiment with its capabilities, consider safety and ethical implications, and plan for integrating AI agents into workflows. Learn to evaluate potential use cases, think critically about their implementation, and prepare for the future of AI-powered automation.",Course,2025-05-23 11:42 UTC,N/A,false,N/A,
Curating Your Instructional Design Portfolio,"<p>If you’re an instructional designer, elearning pro, or former teacher transitioning into elearning, having a way to showcase what you've done and can do is essential. Your portfolio showcases your skills, proves your expertise, and highlights your value to potential clients or employers. </p>

<p>In this course, elearning expert David Anderson shows you how to curate and prepare the key elements for a professional portfolio. Find out how to select your best work, organize projects, and present them in a way that reflects your skills and experience. Plus, learn how to craft engaging project descriptions, create impactful thumbnails, and ensure your portfolio remains adaptable as your career evolves.</p>",Course,2025-09-17 12:11 UTC,N/A,false,N/A,
Getting into the Mind of the Hiring Manager,"<p>Although technology is engaged in many ways in the hiring process, those systems are programmed by people who have their own ideas and assumptions about what makes a candidate the best fit for a role. And once you get past the systems, there are more hurdles to navigate with the hiring team. A human will ultimately make the hiring decision. Understanding the psychology of the job search, specifically what the hiring team is looking for (which may surprise you!) gives candidates a distinct advantage. In this course, Dr. Dawn Graham gives you a behind-the-scenes view of the hiring process and how to think like a psychologist to overcome human biases and misperceptions. With the advantage of getting into the mind of the hiring team, you’re much better positioned to create a job search strategy to bypass hurdles and land the job. </p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations. </p>",Course,2026-01-21 16:17 UTC,N/A,false,N/A,
"Creating Advanced AI Applications with Python, APIs, and GitHub Models","GitHub Models lets you build AI features and products that integrate with third-party APIs. In this course, instructor Jonathan Fernandes shows you how to create an AI application using advanced large language model (LLM) tooling and GitHub Models. Experiment with LLM tooling such as function calling to determine the best LLM for the task, and then start designing and building your own prototype. Test out your new skills along the way in the hands-on coding challenges at the end of each section. By the end of this course, you’ll be equipped with the skills you need to create, test, validate, and deploy an AI-powered app that works effectively with a third-party API.",Course,2025-10-23 10:34 UTC,N/A,true,N/A,
The Power of Accurate Prompting with Anthropic’s Claude,"AI prompting can be frustrating, needing a lot of interactions to achieve successful results. One company is focused on providing successful AI responses by improving results, especially when dealing with long texts and document inputs.

Explore Anthropic’s Claude and refine your prompt skills for more effective, intelligent AI responses. Gain expertise in precise AI communication and enhance your AI interaction capabilities.",Course,2025-12-17 21:20 UTC,N/A,true,N/A,
Creating Illustrator Infographics,"Infographics are everywhere. These data-driven illustrations visualize your data and help to tell the story behind it. In this course, Tony Harmer shows how to design charts, graphs, and other infographic assets in Adobe Illustrator. Learn how to get started by developing core skills, including the ability to create and customize basic images, charts and graphs, and illustrated tables that link to your data. Explore the five key components of a great information design with step-by-step tips on how to achieve it. Tony walks you through the many different graph types available in the latest version of Illustrator, including extendable charts, timelines and poster options, embellishments, add-ons, and more. By the end of this course, you’ll be prepared to choose the infographic option that’s best for you and your data.",Course,2023-03-02 20:13 UTC,N/A,false,N/A,
Design Thinking in the Age of AI,"AI has impacted many industries all over the world, and design thinking is no exception. The rise of AI-powered tools has the potential to accelerate and enhance numerous aspects of the design thinking process, from enhanced empathy to more diverse and innovative ideation to more efficient prototyping and beyond. In this course for graphic designers, product designers, UX professionals, and brand and marketing strategists, brand strategist Justin Ahrens explores how and where AI can be integrated most effectively into design thinking practice today. Along the way, he shares insights on avoiding common pitfalls and addressing key ethical challenges such as bias, privacy, fairness, future-proofing, and more. By the end of this course, you’ll be equipped with practical strategies for putting it all together with AI-enhanced design thinking in action.",Course,2025-11-14 22:05 UTC,N/A,true,N/A,
How to Use Generative AI: Building an AI-First Mindset,"<p>Creating real impact with AI means understanding what generative AI is capable of today—and using that knowledge to stay ahead of future developments. Regardless of your industry, role, and experience, AI can transform your personal and professional development. If you want to learn how to unlock your full potential with AI, this course is for you.
</p><p>
In this course, AI thought leader, advisor, and investor Allie K. Miller provides her insights and guidance on how to thrive in the AI age. She shares real-world examples of generative AI tools in action, as well as her most-used framework to leverage AI to generate added value. Learn how to seamlessly integrate AI into your workflows, enhancing both individual and team productivity. Get the knowledge and tools to use AI for strategic planning, decision-making, and creative problem-solving. By adopting an AI-first mindset, you’ll be better prepared to future-proof your career and lead AI-driven transformations within your organization.",Course,2024-08-21 19:08 UTC,N/A,false,N/A,
How to Land Job Interviews without Applying Online,"Applying online is a tough way to land a job, in today’s market. The data shows us that fewer than 2% of candidates who apply online actually get in the door for an interview. So what should you do instead? In this course, Austin Belcak walks you through the steps you can take to generate a steady pipeline of interviews at your target companies — without submitting a single online application! Austin shows you a new approach to job searching that focuses on generating referrals, instead of applying online. He explains ways you can apply this approach directly on LinkedIn, as well. This approach allows you to have more control over landing a job at one of the companies that you really want to work for, and it improves your chances of landing interviews and offers at those companies, without the endless online applications!",Course,2023-01-19 11:09 UTC,N/A,false,N/A,
Instructional Design: Needs Analysis,"Need to understand the training requirements of your learners? A needs analysis is the first step of any ADDIE-aligned instructional design process. Join Jeff Toister in this installment of <em>Instructional Design Essentials</em> and learn the three-step process to conducting a needs analysis that will accurately capture and define the goals of your project. Jeff brings his 20+ years of instructional design experience to bear, and helps you set clear goals with project sponsors, gather data from participants quickly, and analyze the data to identify gaps in your current system and goals for your future one.",Course,N/A,N/A,true,N/A,
Developing Your Emotional Intelligence,"<p>Emotional intelligence can help you build strong relationships at work and respond to change effectively. Psychologist and author Dr. Gemma Leigh Roberts explains what emotional intelligence (EQ) is and why it's important. She helps you become more self-aware so that you can identify triggers that may hijack your performance. Gemma also helps you align your intentions and your impact so that you can build collaborative relationships. </p><p>
This course is part of these Professional Certificates:<br>
<ul>
<li><a href=""https://www.linkedin.com/learning/paths/becoming-a-manager-professional-certificate-by-linkedin-learning"">Becoming a Manager</a> from LinkedIn Learning.</li>
<li><a href=""https://www.linkedin.com/learning/paths/human-skills-for-managers-professional-certificate-by-linkedin-learning"" target=""_blank"">Human Skills for Managers</a> from LinkedIn Learning.</li>
<li><a href=""https://www.linkedin.com/learning/paths/professional-soft-skills-learning-pathway"" target=""_blank"">Professional Soft Skills Learning Pathway</a> from Microsoft.</li>
</ul></p>",Course,2023-07-02 13:11 UTC,N/A,false,N/A,
Claude Code in Action by Anthropic,"<p>
This course provides comprehensive training on using Claude Code for software development tasks, covering the underlying architecture of AI coding assistants, practical implementation techniques, and advanced integration strategies. Learn about Claude Code’s context management approaches and how to extend functionality through MCP servers and GitHub integration. Explore Claude Code’s tool use system. Find out how to implement visual communication workflows. See how to create custom automations for routine tasks. And discover how to apply the thinking and planning modes.
</p>

<p>Note: This course was created by Anthropic. We are pleased to host this content in our library.</p>

<strong>Prerequisites</strong>
<ul>
  <li>Familiarity with command-line interfaces and terminal operations</li>
  <li>Basic understanding of version control with Git</li>
</ul>",Course,2026-05-10 12:20 UTC,N/A,false,N/A,
Breaking Free From Micromanagement,"<p>Strong leadership skills are foundational to a successful career—regardless of your role. An effective leadership approach is key for your team to reach its full potential. In this course, leadership professor Dr. Julia Milner from EDHEC Business School shares practical wisdom to help leaders recognize, handle, and prevent micromanaging in the workplace. Dr. Julia Milner is a renowned leadership expert with extensive experience in coaching and developing leaders. Find out how to recognize the underlying need for control and anxiety that often drives micromanaging behavior. Delve into the negative impacts of being micromanaged on mental health and productivity. Get started with universal principles such as recognizing micromanaging tendencies and developing strategies to prevent them. Explore techniques for handling micromanaging behavior effectively and promoting a healthier work environment. Plus, discover ways to create a supportive team culture that fosters trust and autonomy. </p>

<p>This course was created by Morra Aarons-Mele. We are pleased to host this training in our library.</p>",Course,2024-10-01 07:48 UTC,N/A,false,N/A,
Working with Difficult People,"<p>In every workplace, you're likely to encounter colleagues who are more difficult to work with than others. But before you rush to judgment, you should determine if and how you might be contributing to the situation, and what you can do to help.</p><p>In this course, join psychologist Dr. Emily Anhalt as she shows you how to navigate and communicate with people who you find challenging to deal with at work. Pause and reflect on your role in challenging work situations to uncover how empathy can help you work better with others. Emily shares strategies to respond to a wide variety of particularly challenging work situations, including with people whose behavior is negative, absent, competitive, and passive-aggressive. By the end of this course, you’ll be prepared with new skills and practical strategies to have an effective conversation with someone you find difficult to work with.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2024-08-31 21:18 UTC,N/A,false,N/A,
Getting Hands-On with GPT-4: Tips and Tricks,"Expand your knowledge of GPT-4 and learn how you can use it to make your work more productive in this course with machine learning expert Denys Linkov. Join Denys as he shows you new techniques to improve daily workflows and take your generative AI skills to the next level. He starts off with a refresher on basic prompting, then moves on to advanced prompts—including completion sequences, few shot learning, and chain of thought reasoning—that can improve your results. Denys also shows how generative AI can help you learn to code—even if coding isn’t your strong suit. Each chapter ends with a challenge (and solution) so you can get hands-on experience while you learn.",Course,2024-12-06 08:40 UTC,N/A,false,N/A,
AI Foundations: Ideating and Prototyping,"<p>In this course, Dr. Isil Berkun—a former staff AI software development engineer at Intel and currently the founder of DigiFab.ai—provides a comprehensive guide for professionals who want to turn AI concepts into tangible products. Learn how to define clear problem statements that align with business goals, conduct strategic market research, and brainstorm AI solutions focused on feasibility and impact. Discover the art of building lean prototypes and leveraging iterative testing to refine your product iteratively. Master resource estimation and explore various funding options, including venture capital, corporate partnerships, and government grants, tailored to your project's needs. See how to pitch your AI solutions compellingly to attract stakeholders and maintain continuous improvement through structured feedback. Whether you're a CEO, CTO, or head of product, this course will equip you with the strategic insights and practical tools needed to transform AI concepts into impactful products that drive organizational success. </p></p>This course is part of the learning path <a href=""https://www.linkedin.com/learning/paths/building-ai-products-understanding-the-workflow-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Building AI Products: Understanding the Workflow Professional Certificate by LinkedIn Learning</a>. Complete all courses and pass the final exam to earn a Professional Certificate you can add to your LinkedIn profile.</p>",Course,2025-10-10 09:48 UTC,N/A,true,N/A,
Quick Start Guide to SQL,"Are you looking to take a deeper dive into the fundamentals of structured query language (SQL)? This short, beginner-friendly course is just the place to start. Join instructor Deepa Maddala as she walks you through the basics of SQL and how to make it work seamlessly with large Oracle datasets.<br><br>Learn about relational database management systems, SQL, and how it works. Explore strategies that you can put to use fetching data from tables, filtering data, and manipulating data with single-row and multiple-row functions, as well as joins and subqueries. By the end of this course, you’ll not only have a deeper understanding of the basic concepts of SQL—you’ll also be ready to get started working on real-time business scenarios.",Course,N/A,N/A,true,N/A,
Designing an Animated App UI with Illustrator,"An animated prototype is a great way to test an app's interface design, without spending any engineering resources. In this course, Andy Needham shows how you can use Adobe Illustrator to design reusable components and screens for a mobile app prototype, which can later be animated in After Effects. He starts with the planning process, where you gather reference material, sketch your ideas, and map the user journey. Then Andy shows how to set up the project file correctly, by choosing the correct document type and organizing the artboards. Next, learn how to break down your sketches into components that can be reused throughout the app, including headers, navigation bars, and dashboard tiles. Andy shows how to convert your components into Illustrator symbols, and lay out the different app screens. Finally, he shows how to organize your project and export assets for animation.<br><br>

Learn how to animate the prototype by watching Andy's follow-up course, <i>Creating a Mobile App Interface in After Effects</i>.",Course,2019-12-19 20:55 UTC,N/A,false,N/A,
Nano Tips for Interpersonal Communication with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies Shadé Zahrai shares tips for improving interpersonal communication skills. Shadé explains the importance of choosing words that foster collaboration, shows how you can transform your communication with positive reinforcement, describes the biggest conversation buzzkill, and more.",Course,2023-11-16 12:22 UTC,N/A,false,N/A,
Teaching Techniques: Blended Learning,"Blended learning is all about the students: combining instruction with digital resources to help increase student achievement and engagement. In this course, Chris Mattia explores the various aspects of blended learning, and provides guidelines to create a blended classroom that meets students' diverse learning needs. The techniques rely on technologies such as Google Apps, Android and iOS devices, video, learning management systems (LMSs), and open-source tools such as WordPress to promote sharing and collaboration. Watch and learn how to use blended learning to create dynamic, engaging, and student-focused lessons.",Course,N/A,N/A,true,N/A,
Essentials of Storyboarding,"Storyboarding is an essential part of preproduction. In this course, Mark Simon, author of the best-selling book <i>Storyboards: Motion in Art, 3rd Edition</i>, shares his experience from working on over 5,000 projects. Mark explains what skills you need to be a successful storyboard artist, where you can look for jobs, and ways you can charge for storyboarding work. He outlines the supplies that you will need. Mark describes how animation and live-action storyboards differ, as well as the differences between presentation boards and shooting boards. He steps through the preparation and research needed to start a storyboarding job, then goes over tips to complete a storyboard job. Mark discusses how to use correct camera terms and give notes on special effects shots. He concludes with the steps to take to deliver your storyboards.",Course,2021-06-05 14:33 UTC,N/A,false,N/A,
Graphic Design Foundations: Typography,"Good typography can add tremendous power to your design and your message, whether it is a print- or screen-based project, a still or motion graphic, a 3D or 2D graphic. This course explains good typographic practices, so that you can develop an ""eye"" for type and understand how to effectively use it. Instructor Ina Saltz explains type classifications (serif vs. sans serif, display type vs. text type), how type is measured, sized, and organized, and how spacing and alignment affect your design. She also explains how to use kerning, tracking, leading, and line length, and covers the history and current trends in typography. The course teaches the principles of legibility, readability, and compatibility, and how they should be considered when you're selecting and designing with type.",Course,2025-09-05 11:34 UTC,N/A,true,N/A,
After Effects Weekly,"During the last few years, After Effects has grown from a simple software program into an ever-evolving motion graphics ecosystem. New features are being added each quarter and it's getting hard to keep up. This weekly series demonstrates tips, tricks, and techniques to help you to stay on top of the changes and reveals undocumented effects and shortcuts that will blow you away. Learn how to reset tools, control animations, create effects, control layers, fix issues, and integrate with Photoshop, Illustrator, and Cinema 4D. Tune in every Friday for a new tip.",Course,2020-12-10 10:39 UTC,N/A,true,N/A,
Figma for UX Research: Presentations that Stand Out,"You don’t have to be a graphic designer to make presentations that leave a mark. Figma—the collaborative, web-based design tool—lets you visualize UX research findings as custom slides to share with your team. Join instructor and UX researcher Eric Nordquist as he shows you the basics of using Figma to create presentations and data visualizations that make a lasting impression on your stakeholders.<br><br>Get an overview of the Figma environment so you can start working on your first project. Learn how to create appealing title slides and openings, agenda slides and TOC applications, UX methodology slides, data visualizations, and participant demographics with built-in tools. Eric gives you pointers on best practices for visualizing both qualitative and quantitative data, as well as tips on final touches to make your slides really shine on screen.",Course,2023-01-03 09:42 UTC,N/A,false,N/A,
VFX Techniques: Creating Particle Effects,"<em>VFX Techniques</em> is back with a new course on particle effects—everyone's favorite feature for creating realistic smoke, fire, explosions, and other phenomena. Author Lee Lanier tackles a wizard battle, producing Harry Potter–style effects as the two wizards fight with their magic wands. Using this sample footage, he shows how to generate particles with After Effect's built-in plugins, dives into the settings to adjust their appearance, and retimes and color grades the scene to create a particular magical mood. Plus, learn about green-screen removal techniques, background plate repair, CG particles, and rotoscoping techniques. This course covers puffs, sparkles, blobs, flares, smoke, sparks, and blasts, so you'll be prepared to create particles for almost any scenario.",Course,2020-04-28 18:43 UTC,N/A,false,N/A,
