Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
LangChain.js: An AI ToolChain for JavaScript Developers,"In this course for JavaScript and Node.js developers, Fikayo Adepoju, an experienced software developer and tech instructor, explores the LangChain framework for JavaScript and shows how to integrate AI-powered functionalities into your applications. Discover how to develop powerful prompts, set up integrations for large language models (LLMs), and build efficient workflow chains. Uncover strategies for transforming raw LLM responses into structured outputs using different output parsers. Dive deep into integrating localized models using frameworks like O Lama and manage token consumption and request cancellation. Gain insights into optimizing AI responses and building modular, maintainable code using LangChain’s tools and utilities. Whether you're looking to add AI-driven features to your existing applications or start afresh, this course provides practical techniques and hands-on examples to get you started.",Course,2025-02-16 07:20 UTC,N/A,false,N/A,
Advanced QGIS Analysis with AI and Machine Learning,"In this course, Gordon Luckett—President of Arrow Geomatics, Inc.—guides you through the advanced GIS Analysis tools available in QGIS, as well as some advanced plug-ins that use AI to manage and interpret Air Photographs. Learn how to analyze vector data, manipulate raster data, and digitize vector data with AI. Find out how to generate new data with raster calculations, build topology models for networks, and manage raster-to-vector conversions. Plus, explore ways to automate processes and animate 3D models.",Course,2024-09-10 08:51 UTC,N/A,false,N/A,
After Effects: Creating a MOGRT (Motion Graphics Template),"Create once, use forever: that's the potential of Motion Graphics Templates (MOGRTs) in Adobe After Effects. With MOGRTs, you can create reusable visual elements for your video projects. In this course, Eran Stern—experienced educator and motion designer—shows you how to create MOGRTs. Get started with the basics of After Effects and MOGRTs, then dive into the Essential Graphics Panel. Explore ways to link colors, assign text properties, and set responsive time design. Plus, learn about exporting MOGRTs, testing them in Premiere Pro, and managing MOGRT files efficiently.",Course,2025-11-28 13:17 UTC,N/A,false,N/A,
"The Creative Spark: Von Glitschka, Illustrative Designer","Von Glitschka creates visual identities, characters, and logos for high-profile ad agencies and companies around the world. But he still believes in the power of taking the brain offline—stepping away from the computer and using ""analog"" methods to solve design challenges. For Von, this means drawing. It's free, it's quick, it's liberating, and it makes design accessible to almost anyone. And by putting his pen to paper first, Von comes away with dozens of ideas that can be translated into digital designs.<br><br>

Take a trip to Salem, Oregon, and watch this master designer at work as he sketches his ideas and refines them in Adobe Photoshop and Illustrator. Then join Von at play as he trawls junkyards on the hunt for color, texture, and patterns to use in his designs. He also lets us in on his 5ive Minute Logo project, a tongue-in-cheek response to the rise of cheap online design clearinghouses that turned, ironically, into a great creative outlet. As he says, even if he wanted to make it, ""life is too short for bad art.""",Course,2020-01-09 13:05 UTC,N/A,false,N/A,
Playwright: Design Patterns,"In this course, learn how to leverage design patterns to enhance your test automation framework using Playwright. By understanding and implementing patterns such as the Page Object Model, fixtures, and data-driven testing, you'll be able to write cleaner, more maintainable, and scalable test scripts. This course is designed for test automation engineers and developers who want to improve their testing skills and ensure their tests are robust and easy to maintain. Through practical examples and hands-on exercises, gain the knowledge and skills needed to apply these design patterns effectively in your projects.",Course,2025-09-29 16:44 UTC,N/A,false,N/A,
AI and Generative AI for Video Content Creation,"<p>Artificial intelligence is transforming many aspects of professional life, and the fields of audio and video production are no exception. From tools that streamline tedious tasks to generative AI tools that create entirely new content based on text prompts, there's almost no area of media production that isn't being touched by advances in AI.</p><p>In this course, join video producer and educator Nick Harauz as he explores the AI-powered tools that are currently transforming the world of media and opening up new doors for creative production, from video to audio and motion graphics to visual effects. By the end of this course, you’ll also be prepared to navigate the ethical and moral implications of using AI for multimedia content creation.</p>",Course,2025-10-29 11:11 UTC,N/A,true,N/A,
Adobe Firefly's AI-Driven Business Solutions: A Conversation with Bart Van de Wiele,"The latest release of Adobe Firefly introduces several exciting AI-driven features for business solutions and creative branding techniques. Join Ashley Kennedy as she chats with Adobe’s Bart Van de Wiele about Firefly tools like Custom Models, Object Composites, Style Kits, and API automation. In this hands-on conversation, Bart performs in-depth demos, which allow enterprise users to ideate, create, and collaborate with innovation and precision. If you’re interested in bringing your business and brand forward with AI-driven solutions, you won’t want to miss this engaging and action-oriented conversation!",Course,2025-12-01 14:25 UTC,N/A,false,N/A,
"Creative Inspirations: Doyald Young, Logotype Designer","From humble beginnings in a small Texas town eight decades ago comes legendary typographer, logotype designer, author, and teacher Doyald Young. As elegant as his script fonts and as wise as his set of Oxford English dictionaries, Young set the standard for his craft. Friend and designer Stefan Bucher describes Young as ""someone who could easily have done what he does in the Renaissance, and could easily do it 300 years from now."" In this installment of Creative Inspirations, we enjoy a window into the life of this accomplished artisan as he works with joyous focus in his favorite spot, his drawing table. We follow Young to Art Center College of Design in Pasadena where he shares his talents with tomorrow's designers. He recalls the hundreds of iterations he went through in creating the logo for Prudential, and he puts pencil to tissue creating the pages for his book about script lettering, <em>Learning Curves.</em> Young's story is compelling, captivating, and most of all, inspiring. lynda.com is honored to host this tribute to his work.<br><br>Join us in Bonus Features at a tribute event held at Art Center College of Design in Pasadena, California, where Doyald's friends and colleagues speak about their relationship with the gifted designer and Lynda introduces a scholarship fund set up specifically in his memory.",Course,2019-12-05 15:41 UTC,N/A,false,N/A,
Nano Tips for Answering Common Interview Questions with Tiffany Uman,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover strategies for answering common interview questions more effectively and authentically to help you land a new role or change your career. Follow along with expert advice from career strategy coach, former Fortune 500 senior director, author, and global speaker, Tiffany Uman.</p><p>Unlock the secret methods of a successful interviewee to find out what sets them apart. Learn how to harness your weaknesses as a source of power, explain gaps and resignations, avoid common mistakes, and calm your nerves. Along the way, Tiffany also gives you pointers on tackling notoriously difficult questions that probe your skills and capacities as a problem solver on the spot. By the end of this course, you’ll be ready to start answering—and asking—your next interview questions like a pro, so you land more job offers with ease and confidence.</p>",Course,2023-09-21 12:26 UTC,N/A,false,N/A,
Brand Strategy for Designers,"Designers: If you've ever wanted to be involved with the long-term strategy for a brand, not just the design, this is the course for you. Learn how to partner with stakeholders and company leaders to define the core elements of a solid brand: its purpose, audience, and position in the marketplace. Instructor Stefan Mumaw—a design consultant to such prestigious brands as Johnson & Johnson, Coca-Cola, and Sony—explains how to turn those ingredients into a cohesive strategy. He also shows how to leverage the strategy to build out individual design elements, such as the company logo. Whether you're building a business from scratch or evolving an existing identity, these tips can help you create a compelling brand—one that moves customers to action and inspires lasting connection.",Course,2022-12-26 08:03 UTC,N/A,false,N/A,
