Reviewee,Review Type,Review Section,Creation Date,Rating,Review Text,Reviewer,Review Tags
Boris Kehr,IDENTITY_EXTERNAL_CREDIBILITY_SIGNAL,TOP_LEVEL,"5/8/26, 12:44 PM",60,Spanish,,
Instructional Design Essentials: Models of ID,LEARNING_CONTENT_CONSUMPTION,TOP_LEVEL,"12/19/22, 12:32 PM",4,,Boris Kehr,
